Repository Name,Repository URI,Created Date,Registry ID
idm,293515758805.dkr.ecr.eu-west-1.amazonaws.com/idm,2018-04-03T13:56:00+03:00,293515758805
mail,293515758805.dkr.ecr.eu-west-1.amazonaws.com/mail,2018-06-08T16:00:33+03:00,293515758805
dbversion,293515758805.dkr.ecr.eu-west-1.amazonaws.com/dbversion,2018-06-08T16:01:27+03:00,293515758805
logo-fluentd,293515758805.dkr.ecr.eu-west-1.amazonaws.com/logo-fluentd,2018-06-19T14:46:51+03:00,293515758805
nafcoreauthorization,293515758805.dkr.ecr.eu-west-1.amazonaws.com/nafcoreauthorization,2018-09-12T08:55:34+03:00,293515758805
reportdesigner,293515758805.dkr.ecr.eu-west-1.amazonaws.com/reportdesigner,2018-09-20T09:56:51+03:00,293515758805
spark231,293515758805.dkr.ecr.eu-west-1.amazonaws.com/spark231,2019-01-10T09:44:22+03:00,293515758805
developerportal,293515758805.dkr.ecr.eu-west-1.amazonaws.com/developerportal,2019-03-13T10:10:38+03:00,293515758805
jplab,293515758805.dkr.ecr.eu-west-1.amazonaws.com/jplab,2019-07-11T08:33:30+03:00,293515758805
mlchatbot_ui,293515758805.dkr.ecr.eu-west-1.amazonaws.com/mlchatbot_ui,2019-07-19T15:17:21+03:00,293515758805
dotnetsampleapp,293515758805.dkr.ecr.eu-west-1.amazonaws.com/dotnetsampleapp,2019-08-22T17:37:48+03:00,293515758805
soho-tools-mw,293515758805.dkr.ecr.eu-west-1.amazonaws.com/soho-tools-mw,2019-12-05T07:54:01+03:00,293515758805
thingsboard/tb-web-ui,293515758805.dkr.ecr.eu-west-1.amazonaws.com/thingsboard/tb-web-ui,2020-02-19T14:23:51+03:00,293515758805
thingsboard/tb,293515758805.dkr.ecr.eu-west-1.amazonaws.com/thingsboard/tb,2020-02-19T14:24:15+03:00,293515758805
logoreceiptreader,293515758805.dkr.ecr.eu-west-1.amazonaws.com/logoreceiptreader,2020-04-08T17:34:59+03:00,293515758805
ocr-application,293515758805.dkr.ecr.eu-west-1.amazonaws.com/ocr-application,2020-04-09T08:03:03+03:00,293515758805
grc-ocr,293515758805.dkr.ecr.eu-west-1.amazonaws.com/grc-ocr,2020-09-17T13:12:39+03:00,293515758805
jplatform-base,293515758805.dkr.ecr.eu-west-1.amazonaws.com/jplatform-base,2020-10-07T23:03:22+03:00,293515758805
openjdk11forjplatform,293515758805.dkr.ecr.eu-west-1.amazonaws.com/openjdk11forjplatform,2020-11-25T15:40:10+03:00,293515758805
grc-sign,293515758805.dkr.ecr.eu-west-1.amazonaws.com/grc-sign,2020-12-01T16:07:18+03:00,293515758805
nafcore_sampleapp_service,293515758805.dkr.ecr.eu-west-1.amazonaws.com/nafcore_sampleapp_service,2020-12-08T21:22:23+03:00,293515758805
grc-receipt-reader,293515758805.dkr.ecr.eu-west-1.amazonaws.com/grc-receipt-reader,2021-08-24T10:03:23+03:00,293515758805
jplatform-dct,293515758805.dkr.ecr.eu-west-1.amazonaws.com/jplatform-dct,2021-12-03T15:53:53+03:00,293515758805
polaris-azure-service,293515758805.dkr.ecr.eu-west-1.amazonaws.com/polaris-azure-service,2022-01-04T16:27:01+03:00,293515758805
nafcore_certificate_service,293515758805.dkr.ecr.eu-west-1.amazonaws.com/nafcore_certificate_service,2022-02-11T10:41:37+03:00,293515758805
nafcore_menunet6_service,293515758805.dkr.ecr.eu-west-1.amazonaws.com/nafcore_menunet6_service,2022-04-03T14:42:17+03:00,293515758805
elogo-agra,293515758805.dkr.ecr.eu-west-1.amazonaws.com/elogo-agra,2022-04-05T13:48:39+03:00,293515758805
nafcore_session_service,293515758805.dkr.ecr.eu-west-1.amazonaws.com/nafcore_session_service,2022-06-07T09:43:08+03:00,293515758805
peoplise-panel,293515758805.dkr.ecr.eu-west-1.amazonaws.com/peoplise-panel,2022-08-01T12:16:06+03:00,293515758805
